Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
10/09/2004,20.00.00,"2,6",1136.0,-200.0,"12,9",1082.0,307.0,824.0,159.0,1478.0,1130.0,"27,7","30,1","1,0991"
10/09/2004,21.00.00,"1,4",1017.0,-200.0,"8,2",908.0,194.0,932.0,119.0,1354.0,880.0,"27,1","31,0","1,0991"
10/09/2004,22.00.00,"1,6",1063.0,-200.0,"9,2",946.0,205.0,886.0,127.0,1391.0,996.0,"26,0","33,4","1,1071"
10/09/2004,23.00.00,"1,7",1083.0,-200.0,"9,3",951.0,223.0,880.0,131.0,1393.0,1054.0,"25,1","35,7","1,1222"
11/09/2004,00.00.00,"1,6",1077.0,-200.0,"10,4",994.0,176.0,829.0,101.0,1429.0,1081.0,"24,3","38,5","1,1525"
11/09/2004,01.00.00,-200,968.0,-200.0,"6,2",823.0,-200.0,952.0,-200.0,1343.0,828.0,"23,4","40,7","1,1551"
11/09/2004,02.00.00,-200,898.0,-200.0,"4,2",720.0,-200.0,1059.0,-200.0,1259.0,661.0,"23,2","41,2","1,1561"
11/09/2004,03.00.00,-200,859.0,-200.0,"3,1",656.0,-200.0,1126.0,-200.0,1213.0,582.0,"23,6","40,5","1,1667"
11/09/2004,04.00.00,-200,849.0,-200.0,"2,3",607.0,-200.0,1189.0,-200.0,1190.0,544.0,"23,5","40,9","1,1677"
11/09/2004,05.00.00,-200,886.0,-200.0,"3,1",658.0,-200.0,1101.0,-200.0,1234.0,647.0,"20,5","48,4","1,1557"
11/09/2004,06.00.00,-200,932.0,-200.0,"4,0",708.0,-200.0,1057.0,-200.0,1285.0,720.0,"20,7","48,4","1,1663"
11/09/2004,07.00.00,-200,1144.0,-200.0,"10,8",1006.0,-200.0,757.0,-200.0,1535.0,1207.0,"19,9","50,8","1,1694"
11/09/2004,08.00.00,-200,1222.0,-200.0,"13,0",1083.0,-200.0,729.0,-200.0,1624.0,1273.0,"21,3","47,2","1,1825"
11/09/2004,09.00.00,-200,1202.0,-200.0,"10,3",989.0,-200.0,775.0,-200.0,1506.0,1303.0,"24,0","40,8","1,1993"
11/09/2004,10.00.00,-200,1323.0,-200.0,"16,3",1190.0,-200.0,698.0,-200.0,1702.0,1479.0,"28,7","30,3","1,1769"
11/09/2004,11.00.00,-200,1219.0,-200.0,"12,7",1074.0,-200.0,805.0,-200.0,1532.0,1191.0,"31,9","24,7","1,1477"
11/09/2004,12.00.00,-200,1121.0,-200.0,"9,7",965.0,-200.0,899.0,-200.0,1386.0,932.0,"33,8","21,9","1,1331"
11/09/2004,13.00.00,-200,1096.0,-200.0,"9,1",942.0,-200.0,893.0,-200.0,1366.0,826.0,"32,7","22,7","1,1044"
11/09/2004,14.00.00,-200,1019.0,-200.0,"7,0",858.0,-200.0,989.0,-200.0,1270.0,631.0,"33,0","21,3","1,0512"
11/09/2004,15.00.00,-200,1045.0,-200.0,"7,0",857.0,-200.0,994.0,-200.0,1308.0,598.0,"33,9","21,2","1,0989"
11/09/2004,16.00.00,-200,1147.0,-200.0,"9,5",959.0,-200.0,872.0,-200.0,1387.0,796.0,"35,9","20,3","1,1845"
11/09/2004,17.00.00,-200,1145.0,-200.0,"9,8",971.0,-200.0,883.0,-200.0,1418.0,759.0,"34,2","22,6","1,1970"
11/09/2004,18.00.00,-200,1202.0,-200.0,"11,7",1040.0,-200.0,815.0,-200.0,1506.0,886.0,"32,0","27,3","1,2752"
11/09/2004,19.00.00,-200,1283.0,-200.0,"13,9",1112.0,-200.0,719.0,-200.0,1583.0,1071.0,"29,3","32,6","1,3105"
11/09/2004,20.00.00,-200,1148.0,-200.0,"8,7",929.0,-200.0,815.0,-200.0,1443.0,826.0,"27,2","38,0","1,3470"
11/09/2004,21.00.00,-200,1229.0,-200.0,"10,9",1012.0,-200.0,743.0,-200.0,1562.0,1103.0,"26,1","41,1","1,3705"
11/09/2004,22.00.00,-200,1287.0,-200.0,"12,3",1060.0,-200.0,716.0,-200.0,1595.0,1221.0,"25,3","44,6","1,4161"
11/09/2004,23.00.00,-200,1285.0,-200.0,"12,4",1062.0,-200.0,715.0,-200.0,1583.0,1449.0,"24,6","47,2","1,4424"
12/09/2004,00.00.00,-200,1251.0,-200.0,"12,1",1055.0,-200.0,701.0,-200.0,1602.0,1364.0,"24,1","48,8","1,4412"
12/09/2004,01.00.00,-200,1120.0,-200.0,"8,0",900.0,-200.0,811.0,-200.0,1462.0,1111.0,"23,6","50,4","1,4470"
12/09/2004,02.00.00,-200,1108.0,-200.0,"8,4",917.0,-200.0,797.0,-200.0,1495.0,1129.0,"22,0","55,8","1,4585"
12/09/2004,03.00.00,-200,961.0,-200.0,"4,9",759.0,-200.0,943.0,-200.0,1375.0,799.0,"22,4","53,6","1,4379"
12/09/2004,04.00.00,-200,950.0,-200.0,"4,2",719.0,-200.0,982.0,-200.0,1372.0,771.0,"21,6","55,8","1,4228"
12/09/2004,05.00.00,-200,901.0,-200.0,"2,3",608.0,-200.0,1105.0,-200.0,1299.0,646.0,"21,8","55,2","1,4184"
12/09/2004,06.00.00,-200,903.0,-200.0,"2,5",619.0,-200.0,1111.0,-200.0,1315.0,705.0,"21,7","55,4","1,4192"
12/09/2004,07.00.00,-200,1024.0,-200.0,"4,9",757.0,-200.0,923.0,-200.0,1423.0,908.0,"20,6","59,8","1,4350"
12/09/2004,08.00.00,-200,1093.0,-200.0,"6,6",837.0,-200.0,830.0,-200.0,1480.0,1047.0,"22,1","55,3","1,4495"
12/09/2004,09.00.00,-200,1097.0,-200.0,"6,5",833.0,-200.0,853.0,-200.0,1470.0,1015.0,"24,8","48,2","1,4883"
12/09/2004,10.00.00,-200,1126.0,-200.0,"6,4",830.0,-200.0,853.0,-200.0,1528.0,938.0,"27,9","43,4","1,6017"
12/09/2004,11.00.00,-200,1139.0,-200.0,"5,6",794.0,-200.0,908.0,-200.0,1456.0,849.0,"30,1","38,5","1,6212"
12/09/2004,12.00.00,-200,1178.0,-200.0,"6,4",832.0,-200.0,858.0,-200.0,1542.0,844.0,"28,2","48,6","1,8253"
12/09/2004,13.00.00,-200,1243.0,-200.0,"7,6",883.0,-200.0,745.0,-200.0,1660.0,1036.0,"24,8","70,4","2,1766"
12/09/2004,14.00.00,-200,1017.0,-200.0,"3,5",680.0,-200.0,996.0,-200.0,1421.0,729.0,"27,8","49,4","1,8209"
12/09/2004,15.00.00,-200,1048.0,-200.0,"3,3",672.0,-200.0,1050.0,-200.0,1438.0,556.0,"25,4","59,9","1,9168"
12/09/2004,16.00.00,-200,1254.0,-200.0,"6,6",840.0,-200.0,787.0,-200.0,1602.0,846.0,"26,1","66,8","2,2310"
12/09/2004,17.00.00,-200,1287.0,-200.0,"8,3",911.0,-200.0,796.0,-200.0,1664.0,942.0,"28,0","53,2","1,9810"
12/09/2004,18.00.00,-200,1215.0,-200.0,"8,0",900.0,-200.0,823.0,-200.0,1604.0,902.0,"27,4","51,4","1,8404"
12/09/2004,19.00.00,-200,1363.0,-200.0,"12,6",1071.0,-200.0,697.0,-200.0,1763.0,1178.0,"25,7","55,8","1,8149"
12/09/2004,20.00.00,-200,1436.0,-200.0,"17,5",1224.0,-200.0,609.0,-200.0,1886.0,1426.0,"24,6","60,3","1,8363"
12/09/2004,21.00.00,-200,1365.0,-200.0,"14,8",1143.0,-200.0,655.0,-200.0,1796.0,1394.0,"24,2","61,6","1,8381"
12/09/2004,22.00.00,-200,1506.0,-200.0,"23,3",1385.0,-200.0,555.0,-200.0,2260.0,1935.0,"23,8","63,5","1,8495"
12/09/2004,23.00.00,-200,1227.0,-200.0,"12,2",1055.0,-200.0,705.0,-200.0,1772.0,1360.0,"23,0","64,8","1,8020"
13/09/2004,00.00.00,-200,1038.0,-200.0,"7,2",866.0,-200.0,833.0,-200.0,1570.0,1061.0,"23,0","63,3","1,7589"
13/09/2004,01.00.00,-200,934.0,-200.0,"4,6",744.0,-200.0,970.0,-200.0,1473.0,870.0,"22,8","63,3","1,7355"
13/09/2004,02.00.00,-200,900.0,-200.0,"3,8",699.0,-200.0,1036.0,-200.0,1452.0,799.0,"21,0","68,6","1,6873"
13/09/2004,03.00.00,-200,870.0,-200.0,"3,7",692.0,-200.0,1070.0,-200.0,1443.0,779.0,"20,4","70,7","1,6734"
13/09/2004,04.00.00,-200,875.0,-200.0,"4,0",713.0,-200.0,1027.0,-200.0,1436.0,809.0,"19,4","73,4","1,6417"
13/09/2004,05.00.00,-200,940.0,-200.0,"5,5",789.0,-200.0,917.0,-200.0,1473.0,914.0,"19,5","72,0","1,6118"
13/09/2004,06.00.00,-200,1053.0,-200.0,"8,3",913.0,-200.0,824.0,-200.0,1578.0,1033.0,"19,7","70,3","1,5925"
13/09/2004,07.00.00,-200,1509.0,-200.0,"28,2",1508.0,-200.0,533.0,-200.0,2257.0,1572.0,"20,4","66,7","1,5770"
13/09/2004,08.00.00,-200,1559.0,-200.0,"32,1",1599.0,-200.0,498.0,-200.0,2374.0,1704.0,"21,8","61,8","1,5966"
13/09/2004,09.00.00,-200,1313.0,-200.0,"17,7",1231.0,-200.0,626.0,-200.0,1889.0,1455.0,"23,0","60,2","1,6652"
13/09/2004,10.00.00,"3,1",1372.0,-200.0,"18,4",1251.0,475.0,609.0,138.0,1890.0,1588.0,"25,4","53,0","1,6963"
13/09/2004,11.00.00,"2,9",1320.0,-200.0,"16,3",1190.0,395.0,655.0,138.0,1825.0,1482.0,"30,0","41,6","1,7324"
13/09/2004,12.00.00,3,1346.0,-200.0,"18,2",1246.0,353.0,639.0,138.0,1907.0,1458.0,"32,6","34,8","1,6872"
13/09/2004,13.00.00,3,1307.0,-200.0,"17,9",1236.0,397.0,649.0,137.0,1869.0,1356.0,"32,2","34,2","1,6145"
13/09/2004,14.00.00,"2,2",1157.0,-200.0,"12,6",1069.0,274.0,737.0,120.0,1653.0,1100.0,"32,1","33,5","1,5690"
13/09/2004,15.00.00,2,1154.0,-200.0,"11,3",1026.0,505.0,773.0,208.0,1623.0,1212.0,"32,6","31,8","1,5361"
13/09/2004,16.00.00,"2,3",1172.0,-200.0,"14,9",1145.0,275.0,735.0,128.0,1676.0,1049.0,"35,2","25,2","1,4111"
13/09/2004,17.00.00,"3,1",1241.0,-200.0,"18,5",1254.0,360.0,693.0,145.0,1735.0,1149.0,"34,3","24,7","1,3154"
13/09/2004,18.00.00,-200,1379.0,-200.0,"25,2",1433.0,-200.0,605.0,-200.0,1982.0,1370.0,"31,5","29,9","1,3638"
13/09/2004,19.00.00,"6,2",1570.0,-200.0,"35,9",1684.0,597.0,494.0,168.0,2289.0,1716.0,"29,0","36,6","1,4452"
13/09/2004,20.00.00,"4,7",1418.0,-200.0,"26,7",1471.0,728.0,542.0,177.0,2064.0,1600.0,"27,1","42,2","1,4949"
13/09/2004,21.00.00,3,1317.0,-200.0,"19,9",1295.0,891.0,593.0,172.0,1883.0,1592.0,"26,1","46,4","1,5445"
13/09/2004,22.00.00,"2,1",1204.0,-200.0,"14,6",1136.0,346.0,648.0,112.0,1782.0,1491.0,"25,1","49,4","1,5480"
13/09/2004,23.00.00,1,1014.0,-200.0,"6,9",853.0,98.0,843.0,39.0,1499.0,1084.0,"26,0","46,4","1,5375"
14/09/2004,00.00.00,"0,8",956.0,-200.0,"5,6",794.0,144.0,896.0,68.0,1456.0,1007.0,"24,7","49,2","1,5116"
14/09/2004,01.00.00,"0,7",891.0,-200.0,"3,9",708.0,110.0,1005.0,51.0,1382.0,823.0,"24,8","49,0","1,5092"
14/09/2004,02.00.00,-200,856.0,-200.0,"3,2",665.0,-200.0,1061.0,-200.0,1375.0,788.0,"23,5","52,6","1,5035"
14/09/2004,03.00.00,-200,863.0,-200.0,"3,9",703.0,-200.0,1032.0,-200.0,1403.0,791.0,"20,8","62,1","1,5044"
14/09/2004,04.00.00,-200,911.0,-200.0,"4,6",745.0,-200.0,922.0,-200.0,1428.0,924.0,"19,9","65,5","1,5078"
14/09/2004,05.00.00,-200,936.0,-200.0,"5,0",765.0,-200.0,916.0,-200.0,1462.0,941.0,"20,6","62,9","1,5088"
14/09/2004,06.00.00,-200,1087.0,-200.0,"9,6",964.0,-200.0,774.0,-200.0,1633.0,1103.0,"21,3","59,4","1,4918"
14/09/2004,07.00.00,-200,1540.0,-200.0,"27,8",1498.0,-200.0,519.0,-200.0,2301.0,1657.0,"22,0","58,3","1,5199"
14/09/2004,08.00.00,-200,1513.0,-200.0,"32,1",1601.0,-200.0,469.0,-200.0,2382.0,1743.0,"23,2","55,4","1,5559"
14/09/2004,09.00.00,-200,1409.0,-200.0,"20,9",1322.0,-200.0,562.0,-200.0,2004.0,1601.0,"26,5","50,2","1,7130"
14/09/2004,10.00.00,-200,1219.0,-200.0,"11,8",1042.0,-200.0,699.0,-200.0,1750.0,1253.0,"29,0","45,5","1,7976"
14/09/2004,11.00.00,-200,1286.0,-200.0,"15,8",1172.0,-200.0,644.0,-200.0,1870.0,1295.0,"30,1","42,0","1,7602"
14/09/2004,12.00.00,-200,1228.0,-200.0,"15,8",1174.0,-200.0,668.0,-200.0,1788.0,1192.0,"32,3","35,9","1,7067"
14/09/2004,13.00.00,-200,1140.0,-200.0,"14,0",1117.0,-200.0,711.0,-200.0,1690.0,1046.0,"33,2","33,8","1,6900"
14/09/2004,14.00.00,-200,1052.0,-200.0,"8,2",906.0,-200.0,832.0,-200.0,1516.0,803.0,"34,0","33,6","1,7591"
14/09/2004,15.00.00,-200,1282.0,-200.0,"13,7",1107.0,-200.0,682.0,-200.0,1791.0,1116.0,"29,9","45,6","1,8942"
14/09/2004,16.00.00,-200,1378.0,-200.0,"19,5",1282.0,-200.0,576.0,-200.0,2010.0,1347.0,"27,7","53,7","1,9670"
14/09/2004,17.00.00,-200,1506.0,-200.0,"26,7",1471.0,-200.0,518.0,-200.0,2200.0,1530.0,"28,0","52,7","1,9604"
14/09/2004,18.00.00,-200,1310.0,-200.0,"18,7",1259.0,-200.0,620.0,-200.0,1926.0,1240.0,"28,6","48,2","1,8616"
14/09/2004,19.00.00,-200,1204.0,-200.0,"13,9",1114.0,-200.0,686.0,-200.0,1807.0,1092.0,"24,8","61,6","1,9067"
14/09/2004,20.00.00,-200,1071.0,-200.0,"6,7",842.0,-200.0,873.0,-200.0,1575.0,740.0,"20,3","77,2","1,8204"
14/09/2004,21.00.00,-200,967.0,-200.0,"4,2",719.0,-200.0,980.0,-200.0,1490.0,670.0,"19,7","82,5","1,8674"
14/09/2004,22.00.00,-200,947.0,-200.0,"3,6",689.0,-200.0,1009.0,-200.0,1454.0,640.0,"20,6","78,8","1,8885"
14/09/2004,23.00.00,-200,1011.0,-200.0,"4,4",734.0,-200.0,967.0,-200.0,1497.0,918.0,"19,2","87,2","1,9195"
15/09/2004,00.00.00,-200,971.0,-200.0,"4,2",722.0,-200.0,949.0,-200.0,1472.0,804.0,"20,5","81,5","1,9360"
15/09/2004,01.00.00,-200,886.0,-200.0,"2,6",627.0,-200.0,1082.0,-200.0,1405.0,694.0,"21,4","74,0","1,8683"
15/09/2004,02.00.00,-200,908.0,-200.0,"3,1",657.0,-200.0,1013.0,-200.0,1460.0,796.0,"20,5","78,2","1,8678"
15/09/2004,03.00.00,-200,901.0,-200.0,"3,0",652.0,-200.0,1013.0,-200.0,1468.0,804.0,"20,7","77,8","1,8764"
15/09/2004,04.00.00,-200,915.0,-200.0,"3,4",674.0,-200.0,970.0,-200.0,1481.0,829.0,"20,5","78,0","1,8636"
15/09/2004,05.00.00,-200,940.0,-200.0,"4,0",712.0,-200.0,961.0,-200.0,1499.0,848.0,"20,6","76,2","1,8272"
15/09/2004,06.00.00,-200,1048.0,-200.0,"7,8",891.0,-200.0,791.0,-200.0,1654.0,992.0,"20,1","77,4","1,8020"
15/09/2004,07.00.00,-200,1298.0,-200.0,"16,1",1181.0,-200.0,644.0,-200.0,1962.0,1256.0,"20,9","73,3","1,7870"
15/09/2004,08.00.00,-200,1487.0,-200.0,"27,6",1493.0,-200.0,492.0,-200.0,2345.0,1598.0,"21,2","72,3","1,8007"
15/09/2004,09.00.00,-200,1327.0,-200.0,"17,8",1233.0,-200.0,582.0,-200.0,1968.0,1403.0,"22,5","68,9","1,8511"
15/09/2004,10.00.00,-200,1363.0,-200.0,"18,5",1255.0,-200.0,573.0,-200.0,1989.0,1497.0,"23,7","64,5","1,8682"
15/09/2004,11.00.00,-200,1393.0,-200.0,"21,6",1340.0,-200.0,529.0,-200.0,2080.0,1500.0,"23,2","68,4","1,9243"
15/09/2004,12.00.00,-200,1361.0,-200.0,"21,0",1324.0,-200.0,540.0,-200.0,2044.0,1549.0,"23,5","69,2","1,9776"
15/09/2004,13.00.00,-200,1289.0,-200.0,"17,2",1217.0,-200.0,599.0,-200.0,1975.0,1374.0,"24,1","65,5","1,9371"
15/09/2004,14.00.00,-200,1265.0,-200.0,"16,1",1184.0,-200.0,619.0,-200.0,1930.0,1270.0,"24,2","65,6","1,9501"
15/09/2004,15.00.00,-200,1339.0,-200.0,"18,6",1257.0,-200.0,579.0,-200.0,2031.0,1360.0,"24,6","63,9","1,9459"
15/09/2004,16.00.00,-200,1269.0,-200.0,"17,2",1215.0,-200.0,608.0,-200.0,1939.0,1296.0,"26,3","56,5","1,9018"
15/09/2004,17.00.00,"3,3",1299.0,-200.0,"17,3",1220.0,341.0,624.0,112.0,1929.0,1319.0,"26,9","53,1","1,8557"
15/09/2004,18.00.00,"6,1",1546.0,-200.0,"28,6",1519.0,622.0,493.0,170.0,2265.0,1649.0,"26,5","50,8","1,7334"
15/09/2004,19.00.00,"6,7",1571.0,-200.0,"31,8",1593.0,615.0,469.0,173.0,2409.0,1686.0,"25,1","55,8","1,7511"
15/09/2004,20.00.00,"4,4",1312.0,-200.0,"20,1",1299.0,443.0,580.0,135.0,2016.0,1380.0,"23,9","58,9","1,7276"
15/09/2004,21.00.00,"1,9",1074.0,-200.0,"9,2",946.0,219.0,767.0,93.0,1635.0,1079.0,"23,1","62,8","1,7562"
15/09/2004,22.00.00,"1,8",1127.0,-200.0,"10,3",989.0,203.0,752.0,74.0,1724.0,1096.0,"22,1","67,3","1,7671"
15/09/2004,23.00.00,"1,5",1040.0,-200.0,"8,6",923.0,165.0,769.0,69.0,1640.0,1049.0,"22,1","66,5","1,7441"
16/09/2004,00.00.00,"1,6",1060.0,-200.0,"8,6",925.0,339.0,772.0,109.0,1649.0,1161.0,"21,1","70,1","1,7366"
16/09/2004,01.00.00,"0,8",911.0,-200.0,"4,8",753.0,103.0,934.0,55.0,1496.0,865.0,"21,9","67,1","1,7394"
